Title,Platform(s),Genre(s)
Captain Toad: Treasure Tracker,"NS, 3DS",Action puzzle
Octopath Traveler,NS,"Role-Playing, adventure"
Adventure Time: Pirates of the Enchiridion,"Win, NS, PS4, XBO",Adventure
Sonic Mania Plus,"NS, PS4, XBO","Platform, action"
Touhou Genso Wanderer: Reloaded,"NS, PS4",Roguelike
Closed Nightmare,"NS, PS4",Survival horror
Taiko no Tatsujin: Drum 'n' Fun!,NS,"Music, rhythm"
Mega Man X Legacy Collection,"Win, NS, PS4, XBO","Action, platform"
No Man's Sky,XBO,"Action-adventure, survival"
The Banner Saga 3,"Win, Mac, NS, PS4, XBO",Tactical Role-Playing
Ys: Memories of Celceta,Win,Action Role-Playing
Heaven Will Be Mine,"Win, Mac, Lin",Visual novel
Mobile Suit Gundam: Battle Operation 2,PS4,Mech
Go Vacation,NS,Sports
Hello Neighbor,"NS, PS4, iOS, Droid","Stealth, survival horror"
Head AS Code,Win,Visual Novel
Chasm,"Win, PS4, PSVita","Action Role-Playing, platform"
Code of Princess EX,NS,Action Role-Playing
This Is the Police 2,"Win, Mac, Lin","Adventure, strategy"
Titan Quest,NS,"Action Role-Playing,  Hack and Slash"
Yakuza 0,Win,Action-adventure
Salt and Sanctuary,NS,Platform
WarioWare Gold,3DS,"Action, rhythm"
Dead Cells,"Win, Mac, Lin, NS, PS4, XBO","Metroidvania, roguelike"
Flipping Death,"Win, NS, PS4, XBO",Adventure
Overcooked 2,"Win, NS, PS4, XBO",Simulation
Layton's Mystery Journey DX,NS,"Puzzle, adventure"
Minit,NS,Adventure
Monster Hunter: World,Win,Action Role-Playing
Ōkami HD,NS,Action-adventure
Yakuza 3,PS4,Action-adventure
Madden NFL 19,"Win, PS4, XBO",Sports
We Happy Few,"Win, PS4, XBO",Survival
Cosmic Star Heroine,NS,Role-Playing
Death's Gambit,"Win, PS4",Role-Playing
Tanglewood,"MD, Win, Mac, Lin",Platform
The Walking Dead: The Final Season – Episode 1: Done Running,"Win, PS4, XBO, NS",Graphic adventure
World of Warcraft: Battle for Azeroth,"Win, Mac",MMORPG
Fernz Gate,XBO,Role-Playing
Penguin Wars,NS,Action
State of Mind,"Win, Mac, NS, PS4, XBO",Walking simulator
Next Up Hero,NS,"Action, Dungeon Crawl"
All-Star Fruit Racing,"Win, NS, PS4, XBO",Racing
Guacamelee! 2,"Win, PS4","Metroidvania, platformer, beat 'em up"
Return of Double Dragon,SNES,Beat 'em up
Shenmue,"Win, PS4, XBO",Action-adventure
Shenmue II,"Win, PS4, XBO",Action-adventure
My Hero One's Justice,"NS, PS4",Action
F1 2018,"Win, PS4, XBO",Racing
Little Dragons Café,"NS, PS4","Simulation, Role-Playing"
Night Trap: 25th Anniversary Edition,NS,Interactive movie
Aggressors: Ancient Rome,Win,"Turn-based strategy, 4X"
Blade Strangers,"Win, NS, PS4",Fighting
De Blob 2 Remastered,NS,"Platform, puzzle"
Donut County,"Win, Mac, PS4, iOS",Puzzle
Fernz Gate,"NS, PS4",Role-Playing
Firewall: Zero Hour,PSVR,First-person shooter
Into the Breach,NS,Turn-based strategy
Monster Hunter Generations Ultimate,NS,Action Role-Playing
Pro Evolution Soccer 2019,"Win, PS4, XBO",Sports
Strange Brigade,"Win, PS4, XBO",Third-person shooter
Sunless Sea: Zubmariner Edition,PS4,Roguelike
Victor Vran: Overkill Edition,NS,Action Role-Playing
Yakuza Kiwami 2,PS4,Action-adventure
The Messenger,"Win, NS",Action-platformer
Two Point Hospital,"Win, Mac, Lin",Business simulation
Divinity: Original Sin II,"PS4, XBO",Role-Playing
Naruto to Boruto: Shinobi Striker,"Win, PS4, XBO",Beat 'em up
428: Shibuya Scramble,"Win, PS4",Visual novel
